id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
77993578,PictureSelector,LuckSiege/PictureSelector,False,LuckSiege,User,https://github.com/LuckSiege/PictureSelector,Picture Selector Library for Android or 图片选择器,False,2017-01-04T07:47:39Z,2025-10-28T07:34:33Z,2024-05-11T03:14:44Z,,542078,13563,13563,Java,3082,571,version_component,"android,android-image-selector,camera,compress,glide,image-compression,image-picker,images,multi-selector,photo,photoview,picker,picture-selector,video",public,apache-2.0
20570214,tink,tink-crypto/tink,False,tink-crypto,Organization,https://github.com/tink-crypto/tink,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse.",False,2014-06-06T16:21:09Z,2025-10-29T05:11:57Z,2024-04-17T11:08:35Z,https://developers.google.com/tink,61010,13555,13555,Java,1180,0,master,"cpp,crypto,cryptography,go,java,javascript,objc,security",public,apache-2.0
113983289,kkFileView,kekingcn/kkFileView,False,kekingcn,Organization,https://github.com/kekingcn/kkFileView,Universal File Online Preview Project based on Spring-Boot,False,2017-12-12T11:41:08Z,2025-10-29T11:13:26Z,2025-10-20T06:29:15Z,https://kkview.cn,664614,13487,13487,Java,3125,355,master,"docx,fileview,fileviewer,java,kkfileview,office,office-view,pdf,word",public,
28550872,Android-PickerView,Bigkoo/Android-PickerView,False,Bigkoo,Organization,https://github.com/Bigkoo/Android-PickerView,"This is a picker view for android , support linkage effect, timepicker and optionspicker.（时间选择器、省市区三级联动）",False,2014-12-28T01:46:38Z,2025-10-28T08:37:28Z,2022-12-30T03:36:03Z,,6389,13478,13478,Java,3459,437,master,"android-pickerview,datepicker,optionspicker,pickerview,timepicker,wheelview",public,apache-2.0
221862,lombok,projectlombok/lombok,False,projectlombok,Organization,https://github.com/projectlombok/lombok,Very spicy additions to the Java programming language.,False,2009-06-08T19:46:41Z,2025-10-29T13:54:52Z,2025-10-19T01:29:34Z,https://projectlombok.org/,81131,13311,13311,Java,2468,974,master,,public,other
181012406,mall-learning,macrozheng/mall-learning,False,macrozheng,User,https://github.com/macrozheng/mall-learning,mall学习教程，架构、业务、技术要点全方位解析。mall项目（60k+star）是一套电商系统，使用现阶段主流技术实现。涵盖了SpringBoot、MyBatis、Elasticsearch、RabbitMQ、Redis、MongoDB、MySQL等技术，采用Docker容器化部署。,False,2019-04-12T13:20:31Z,2025-10-29T09:50:50Z,2024-09-15T01:05:39Z,https://www.macrozheng.com,39420,13287,13287,Java,8331,5,master,"docker,elasticsearch,mongodb,mybatis,mysql,rabbitmq,redis,springboot,springcloud",public,
56829582,banner,youth5201314/banner,False,youth5201314,User,https://github.com/youth5201314/banner,🔥🔥🔥Banner 2.0 来了！Android广告图片轮播控件，内部基于ViewPager2实现，Indicator和UI都可以自定义。,False,2016-04-22T05:50:25Z,2025-10-29T01:59:05Z,2024-01-11T08:41:56Z,,11310,13048,13048,Java,2537,46,master,"androidx,banner,indicator,viewpager,viewpager2",public,apache-2.0
32313383,dex2jar,pxb1988/dex2jar,False,pxb1988,User,https://github.com/pxb1988/dex2jar,Tools to work with android .dex and java .class files,False,2015-03-16T09:13:07Z,2025-10-29T05:39:34Z,2024-07-21T06:08:25Z,,8725,12946,12946,Java,2181,380,2.x,,public,apache-2.0
75882172,conductor,Netflix/conductor,False,Netflix,Organization,https://github.com/Netflix/conductor,Conductor is a microservices orchestration engine.,False,2016-12-07T22:48:42Z,2025-10-27T18:05:57Z,2023-12-22T23:40:04Z,,29469,12785,12785,Java,2344,164,main,"distributed-systems,grpc,java,javascript,microservice-orchestration,orchestration-engine,orchestrator,reactjs,spring-boot,workflow-automation,workflow-engine,workflow-management,workflows",public,apache-2.0
22254856,spring-boot-admin,codecentric/spring-boot-admin,False,codecentric,Organization,https://github.com/codecentric/spring-boot-admin,Admin UI for administration of spring boot applications,False,2014-07-25T11:39:13Z,2025-10-29T08:19:08Z,2025-10-29T12:13:01Z,,85602,12724,12724,Java,3108,48,master,"java,spring,spring-boot,spring-boot-admin,spring-cloud",public,apache-2.0
29703871,stetho,facebook/stetho,False,facebook,Organization,https://github.com/facebook/stetho,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more.",False,2015-01-22T22:34:10Z,2025-10-25T08:18:45Z,2024-10-26T03:44:45Z,http://facebook.github.io/stetho/,2392,12713,12713,Java,1123,83,main,,public,mit
